,target_num,Mouse_Acceleration_Mean,Mouse_Acceleration_Max,Mouse_Total_Distance,Mouse_X_Distance,Mouse_Y_Distance,Mouse-Keybord_mean,Mouse-Keybord_max,Mouse-Keybord_min,key_press_time
0,death_10,1943.0377280294583,17000.0,3029.301029270764,2609,663,1.115314,1.115314,1.115314,1.053938
1,death_11,2697.103490439821,35785.288270377736,2566.5692173624348,2474,252,0.730908,0.730908,0.730908,1.9534660000000001
2,death_12,2499.430161234962,18027.756377319947,3449.590001303451,3346,201,1.35611,1.35611,1.35611,1.533517
3,death_13,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
4,death_15,758.0661183463264,4000.0,548.059164584833,431,137,1.283445,1.283445,1.283445,0.984727
5,death_2,1977.1900499234491,15033.296378372908,2564.3545920868373,2460,274,0.0,0.0,0.0,1.711743
6,death_3,675.9871177664227,4419.10667490077,873.1092549772349,702,228,0.419496,0.419496,0.419496,1.7061229999999998
7,death_4,996.0427898526235,7168.093987005943,1407.2322986206852,888,779,0.167014,0.167014,0.167014,1.271576
8,death_5,894.482049662135,4118.986638978682,1366.5060798469012,1073,405,1.552462,1.552462,1.552462,1.3071679999999999
9,death_6,767.2567821625842,6274.360436842023,1127.115278713706,787,532,1.885338,1.885338,1.885338,1.998213
10,death_7,1021.59733792849,9228.77323052341,1491.318657007057,1303,332,0.245903,0.245903,0.245903,1.5452460000000001
11,death_8,5583.729957006344,70184.3769487812,8112.002527644853,7861,943,0.0,0.0,0.0,1.551801
12,death_9,2223.9468086400316,14444.662478731187,3019.023541004149,2518,950,0.0,0.0,0.0,1.950908
13,kill_1,2000.9812413107325,12165.52506059644,1702.7861493180594,1608,246,0.0,0.0,0.0,1.730092
14,kill_2,1153.1092552236023,16000.0,1741.176766585052,1387,512,1.105515,1.105515,1.105515,1.065849
15,kill_3,1464.1421432276516,15779.092702169626,1217.19208652352,854,549,0.0,0.0,0.0,0.049144
16,kill_4,971.0407141386772,13779.52755905512,1615.6242323723918,1220,597,0.381509,0.381509,0.381509,1.9894889999999998
17,kill_5,845.8465750561686,7889.546351084813,510.86535643754576,401,129,0.0,0.0,0.0,0.251209
18,kill_7,1686.169629607636,10398.711662261505,2319.629184301902,1945,780,0.445908,0.445908,0.445908,1.999149
